chave_nfce;data_emissao;vendedor_razao_social;consumidor_cpf;valor_total_tributos;descricao_produto;categoria_ods;quantidade;valor_unitario;valor_total_item;data_emissao_dt
43250894353554000116650010006450391910360010;27/08/2025;JOAO RENATO ROSSETTI;Não informado;0,00;REFRIGERANTE COCA COLA 600ML;Carboidratos_Processados;1,0;7,0;7,0;2025-08-27
43250894353554000116650010006450391910360010;27/08/2025;JOAO RENATO ROSSETTI;Não informado;0,00;PASTEL DE CARNE;Proteina_Alta_Carbono;1,0;12,0;12,0;2025-08-27
43250993489243001007650020024260741150990165;10/09/2025;COML BUFFON COMB E TRANSP LTDA - POSTO 10;Não informado;134,12;OLEO DIESEL B S10 Bc-19;Combustiveis_Fosseis;57,06;6,44;367,46;2025-09-10
43251009273885000339650160001519111487083800;31/10/2025;VIA MAIS REDE DE POSTOS S.A. - F3;Não informado;61,47;OLEO DIESEL S10 B:55;Combustiveis_Fosseis;39,406;6,29;247,86;2025-10-31
43251015626108000161650010000311331921146328;30/10/2025;JAIRO ANSELMO DOS PASSOS;Não informado;0,00;FECHADURA INTERNA-POP SOPRANO;Utensilios_Domesticos;1,0;69,9;69,9;2025-10-30
43251091411256004134650050000912301843676238;07/10/2025;SANDER COMERCIO DE COMBUSTIVEIS LTDA;Não informado;20,27;DIESEL S 10;Combustiveis_Fosseis;27,29;6,19;168,92;2025-10-07
43251111933008000127650140001098431073639792;25/11/2025;J. C. BARCELLOS E CIA. LTDA.;Não informado;0,00;GC GASOLINA COMUM;Combustiveis_Fosseis;16,051;6,23;100,0;2025-11-25
43251122726849000180650010001090741141772934;06/11/2025;Pe Direito Materiais de Construcao Ltda;Não informado;0,00;ESPATULA DE PLASTICO 131CM - ATLAS 152/2;Utensilios_Domesticos;1,0;5,25;5,25;2025-11-06
43251122726849000180650010001090741141772934;06/11/2025;Pe Direito Materiais de Construcao Ltda;Não informado;0,00;ESPATULA DE PLA STICO 6 - PARABONI 101268;Nao_Classificado;1,0;7,75;7,75;2025-11-06
43251122726849000180650010001090741141772934;06/11/2025;Pe Direito Materiais de Construcao Ltda;Não informado;0,00;GESSO 1000G - NACIONAL 46213;Nao_Classificado;1,0;5,0;5,0;2025-11-06
43251142591651252703650220000756811550760868;23/11/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;3,70;CB PrAF;Nao_Classificado;1,0;7,4;7,4;2025-11-23
43251142591651252703650220000756811550760868;23/11/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;3,70;Bat M PrAF;Carboidratos_Processados;1,0;5,5;5,5;2025-11-23
43251142591651252703650220000756811550760868;23/11/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;3,70;Coca P PrAF;Nao_Classificado;1,0;10,5;10,5;2025-11-23
43251142591651252703650220000756811550760868;23/11/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;3,70;CasMis BLPrAF;Nao_Classificado;1,0;2,5;2,5;2025-11-23
43251142591651252703650220000756811550760868;23/11/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;3,70;Extra Chocolate;Nao_Classificado;1,0;2,0;2,0;2025-11-23
43251145543915038154650720000252821780164547;03/11/2025;CARREFOUR COMERCIO E INDUSTRIA LTDA;Não informado;3,23;AG MINL S GAS PEDRA;Nao_Classificado;1,0;4,99;4,99;2025-11-03
43251145543915038154650720000252821780164547;03/11/2025;CARREFOUR COMERCIO E INDUSTRIA LTDA;Não informado;3,23;CRM DENT SORRISO DEN;Nao_Classificado;1,0;3,49;3,49;2025-11-03
43251145543915038154650720000252821780164547;03/11/2025;CARREFOUR COMERCIO E INDUSTRIA LTDA;Não informado;3,23;ESCOVA ORALB PRO 1U;Higiene_Limpeza_Seca;1,0;1,99;1,99;2025-11-03
43251160257605000194650010000059801291045172;29/11/2025;FVE COMERCIO DE CHOCOLATES LTDA;Não informado;8,32;#1700900#18069000#TRU COCO 30;Nao_Classificado;5,0;5,29;26,45;2025-11-29
43251160257605000194650010000059801291045172;29/11/2025;FVE COMERCIO DE CHOCOLATES LTDA;Não informado;8,32;#1700900#18069000#TRU MENTA 30;Nao_Classificado;5,0;5,29;26,45;2025-11-29
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;MAMAO PAPAYA kg;Hortifruti_Baixo_Carbono;0,418;12,98;5,43;2025-11-11
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;TOMATE LONGA VIDA kg;Hortifruti_Baixo_Carbono;0,217;6,99;1,52;2025-11-11
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;BOMBOM GAROTO SERENATA AMOR UN;Laticinios_Derivados;1,0;1,29;1,29;2025-11-11
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;BOMBOM GAROTO SERENATA AMOR UN;Laticinios_Derivados;1,0;1,29;1,29;2025-11-11
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;PAO CACETINHO kg ASUN;Carboidratos_Processados;0,072;14,99;1,08;2025-11-11
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;PAO HAMBURGUER WICKBOLD 320g BRIOCHE;Proteina_Alta_Carbono;1,0;13,29;13,29;2025-11-11
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;MERENGUE ASUN kg;Nao_Classificado;0,094;69,9;6,57;2025-11-11
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;LEITE TIPO B SANTA CLARA 1L GF ESPECIAL;Laticinios_Derivados;1,0;6,98;6,98;2025-11-11
43251192091891002796652040005297901098628097;11/11/2025;ASUN COMERCIO DE GENEROS ALIMENTICIOS LTDA;Não informado;0,00;OVOS CANARINHO VERMELHOS 6un;Nao_Classificado;1,0;6,99;6,99;2025-11-11
43251193015006002400651150012758321278361205;16/11/2025;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;9,47;FILEZINHO FGO SADIA IQF 1KG;Proteina_Alta_Carbono;1,0;25,9;25,9;2025-11-16
43251193015006002400651150012758321278361205;16/11/2025;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;9,47;PAO SAND S.BOYS F.FIBRAS 450G;Carboidratos_Processados;1,0;9,39;9,39;2025-11-16
43251193015006002400651150012758321278361205;16/11/2025;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;9,47;VINAG ALCOOL WINNA 750ML;Higiene_Limpeza_Quimica;4,0;2,79;11,16;2025-11-16
43251193015006002400651150012758321278361205;16/11/2025;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;9,47;B NUTS HARTS CRAN&CH VEG 35G;Hortifruti_Baixo_Carbono;2,0;5,68;11,36;2025-11-16
43251193015006002400651150012758321278361205;16/11/2025;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;9,47;FOLHA ALUM WYDA 30CMX7,5M;Nao_Classificado;2,0;5,99;11,98;2025-11-16
43251193489243004537650020020663481220970323;03/11/2025;COML BUFFON COMB E TRANSP LTDA - POSTO 45;Não informado;74,76;OLEO DIESEL B S10 Bc-18;Combustiveis_Fosseis;32,0303;6,29;201,47;2025-11-03
43251242591651229213650730003727711436233260;05/12/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;8,99;Coca300 PrMcL;Nao_Classificado;1,0;9,9;9,9;2025-12-05
43251242591651229213650730003727711436233260;05/12/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;8,99;McL Feliz CB Pr;Nao_Classificado;1,0;14,2;14,2;2025-12-05
43251242591651229213650730003727711436233260;05/12/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;8,99;Batata Kids Pr;Hortifruti_Baixo_Carbono;1,0;3,75;3,75;2025-12-05
43251242591651229213650730003727711436233260;05/12/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;8,99;Bat Kid MFL;Nao_Classificado;1,0;1,15;1,15;2025-12-05
43251242591651229213650730003727711436233260;05/12/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;8,99;BR4 Nick Pr;Nao_Classificado;1,0;5,6;5,6;2025-12-05
43251242591651229213650730003727711436233260;05/12/2025;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;Não informado;8,99;Walki Torta;Nao_Classificado;2,0;7,5;15,0;2025-12-05
43251288212113110207650070000184661341214747;05/12/2025;COMERCIO DE MEDICAMENTOS BRAIR LTDA;Não informado;25,37;ENO 5G 2 ENV EFERV GUARANA GSK AV*;Nao_Classificado;2,0;4,93;9,86;2025-12-05
43251288212113110207650070000184661341214747;05/12/2025;COMERCIO DE MEDICAMENTOS BRAIR LTDA;Não informado;25,37;ENO 5G 2 ENV EFERV ABACAXI GSK AV*;Hortifruti_Baixo_Carbono;1,0;4,93;4,93;2025-12-05
43251288212113110207650070000184661341214747;05/12/2025;COMERCIO DE MEDICAMENTOS BRAIR LTDA;Não informado;25,37;AGUA CRYSTAL SPARKLING C/GAS FRUTAS VERMELHAS 510ML;Nao_Classificado;1,0;5,29;5,29;2025-12-05
43251288212113110207650070000184661341214747;05/12/2025;COMERCIO DE MEDICAMENTOS BRAIR LTDA;Não informado;25,37;REFRI COCA COLA LATA 350ML;Nao_Classificado;1,0;5,29;5,29;2025-12-05
43251289470462001077650060008674691612197518;17/12/2025;ABASTECEDORA ABM LTDA;Não informado;17,00;GASOLINA COMUM;Combustiveis_Fosseis;16,208;6,17;100,0;2025-12-17
43251292910389000120650010000565021000565015;05/12/2025;LUIZ R. FELIPPE;Não informado;0,00;AREIA MEDIA/FINA 20 KG;Nao_Classificado;1,0;8,0;8,0;2025-12-05
43260194846755000155651050004046631653162742;12/01/2026;SUPERMERCADO GUANABARA S.A;Não informado;0,00;PAD PAO FRANCES C kg;Carboidratos_Processados;0,134;15,9;2,13;2026-01-12
43260194846755000155651050004046631653162742;12/01/2026;SUPERMERCADO GUANABARA S.A;Não informado;0,00;LANCH TRANCA SERRA CANAST UN FGO C/REQUEIJAO;Laticinios_Derivados;1,0;6,9;6,9;2026-01-12
43260194846755000155651050004046631653162742;12/01/2026;SUPERMERCADO GUANABARA S.A;Não informado;0,00;BEB NECTAR CBS TP 1L MORANGO;Nao_Classificado;1,0;8,49;8,49;2026-01-12
43260194846755000155651050004046631653162742;12/01/2026;SUPERMERCADO GUANABARA S.A;Não informado;0,00;LARANJA SUCO kg;Hortifruti_Baixo_Carbono;0,422;5,68;2,4;2026-01-12
43260194846755000155651050004046631653162742;12/01/2026;SUPERMERCADO GUANABARA S.A;Não informado;0,00;IOGURTE BATAVO 170G NATURAL MEL;Laticinios_Derivados;1,0;3,25;3,25;2026-01-12
43260194846755000155651050004046631653162742;12/01/2026;SUPERMERCADO GUANABARA S.A;Não informado;0,00;DOCE LEITE -kg TRADICIONAL;Laticinios_Derivados;0,166;25,9;4,3;2026-01-12
43260194846755000155651050004046631653162742;12/01/2026;SUPERMERCADO GUANABARA S.A;Não informado;0,00;SABONETE REXONA 84G ANTIBAC L PROF;Higiene_Limpeza_Quimica;1,0;2,79;2,79;2026-01-12
43260275503821010617650120000147401894327329;12/02/2026;COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA;Não informado;12,74;PICOLE FRUTA ABACAXI;Hortifruti_Baixo_Carbono;2,0;2,5;5,0;2026-02-12
43260275503821010617650120000147401894327329;12/02/2026;COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA;Não informado;12,74;PICOLE FRUTA MARACUJA;Nao_Classificado;2,0;2,5;5,0;2026-02-12
43260275503821010617650120000147401894327329;12/02/2026;COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA;Não informado;12,74;PICOLE FRUTA MORANGO;Nao_Classificado;2,0;2,5;5,0;2026-02-12
43260275503821010617650120000147401894327329;12/02/2026;COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA;Não informado;12,74;PICOLE FRUTA LIMAO;Hortifruti_Baixo_Carbono;3,0;2,5;7,5;2026-02-12
43260275503821010617650120000147401894327329;12/02/2026;COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA;Não informado;12,74;PICOLE FRUTA UVA;Hortifruti_Baixo_Carbono;3,0;2,5;7,5;2026-02-12
43260275503821010617650120000147401894327329;12/02/2026;COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA;Não informado;12,74;PICOLE FRUTA FRAMBOESA;Nao_Classificado;2,0;2,5;5,0;2026-02-12
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;LEITE COND PIRAC S.DES 395G;Laticinios_Derivados;2,0;4,99;9,98;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;CR LEITE PARMALAT TP200G;Laticinios_Derivados;2,0;2,49;4,98;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;MOLHO TOM ODERICH TRAD SH300G;Nao_Classificado;2,0;1,65;3,3;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;BISC BAUDUCCO BISCUIT M.AMG 80G;Nao_Classificado;1,0;7,98;7,98;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;CHOC NESTLE CHOCOTRIO AO LTE 90G;Nao_Classificado;1,0;9,98;9,98;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;CHOC NEGRESCO RECH 90G;Nao_Classificado;1,0;10,9;10,9;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;ALIM CAO D.CHOW FIL RP 100G;Nao_Classificado;4,0;3,69;14,76;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;ALIM CAO PEDIGREE FGO 100G;Pet;2,0;2,99;5,98;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;PALETA S/OSSO EF;Proteina_Alta_Carbono;1,1599;38,9;45,12;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;PEITO FRANGO PERDIGAO DEF CP AS;Proteina_Alta_Carbono;0,182;62,9;11,45;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;QJO MUSSARELA PRES FAT 150G;Laticinios_Derivados;1,0;8,79;8,79;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;SORV SORVELAND CHOCOLATE 2L;Nao_Classificado;1,0;35,9;35,9;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;SUCO NATURALE LARANJA INT 1L;Hortifruti_Baixo_Carbono;1,0;10,9;10,9;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;GELATO SORVELAND PISTACCH 950ML;Nao_Classificado;1,0;45,9;45,9;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;GOMA TRIDENT HORTELA 8G;Nao_Classificado;1,0;3,69;3,69;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;NECTAR TIAL LARANJA 1L;Hortifruti_Baixo_Carbono;4,0;4,99;19,96;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;BIFE FILE PTO A.SERRA RESF 700G;Proteina_Alta_Carbono;2,0;16,8;33,6;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;PAO CACETINHO;Carboidratos_Processados;0,3761;15,9;5,98;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;LIMAO TAITI GRANEL;Hortifruti_Baixo_Carbono;0,614;7,98;4,9;2026-02-28
43260293015006004968651220011025091648463363;28/02/2026;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;Não informado;108,01;BANANA PRATA GRANEL;Hortifruti_Baixo_Carbono;0,8318;8,98;7,47;2026-02-28
